2012-01-01,2860
2012-01-08,2500
2012-01-15,2411
2012-01-22,2475
2012-01-29,2507
2012-02-05,2348
2012-02-12,2501
2012-02-19,2710
2012-02-26,2519
2012-03-04,2586
2012-03-11,2556
2012-03-18,2162
2012-03-25,1936
2012-04-01,1801
2012-04-08,1799
2012-04-15,1785
2012-04-22,1729
2012-04-29,1625
2012-05-06,1651
2012-05-13,1624
2012-05-20,1537
2012-05-27,1428
2012-06-03,1329
2012-06-10,1265
2012-06-17,1136
2012-06-24,966
2012-07-01,911
2012-07-08,939
2012-07-15,897
2012-07-22,869
2012-07-29,869
2012-08-05,889
2012-08-12,977
2012-08-19,1095
2012-08-26,1199
2012-09-02,1374
2012-09-09,1543
2012-09-16,1737
2012-09-23,1895
2012-09-30,2018
2012-10-07,2325
2012-10-14,2391
2012-10-21,2369
2012-10-28,2349
2012-11-04,2492
2012-11-11,2913
2012-11-18,3040
2012-11-25,3641
2012-12-02,4427
2012-12-09,5132
2012-12-16,6359
2012-12-23,7904
2012-12-30,8618
2013-01-06,10112
2013-01-13,10555
2013-01-20,9408
2013-01-27,7209
2013-02-03,5541
2013-02-10,4555
2013-02-17,4240
2013-02-24,3784
2013-03-03,3504
2013-03-10,3242
2013-03-17,2894
2013-03-24,2673
2013-03-31,2482
2013-04-07,2121
2013-04-14,1747
2013-04-21,1681
2013-04-28,1534
2013-05-05,1438
2013-05-12,1286
2013-05-19,1165
2013-05-26,1149
2013-06-02,1063
2013-06-09,1024
2013-06-16,997
2013-06-23,966
2013-06-30,925
2013-07-07,941
2013-07-14,907
2013-07-21,956
2013-07-28,850
2013-08-04,869
2013-08-11,907
2013-08-18,952
2013-08-25,977
2013-09-01,1085
2013-09-08,1154
2013-09-15,1259
2013-09-22,1350
2013-09-29,1363
2013-10-06,1405
2013-10-13,1354
2013-10-20,1445
2013-10-27,1460
2013-11-03,1560
2013-11-10,1628
2013-11-17,1661
2013-11-24,1708
2013-12-01,2043
2013-12-08,2238
2013-12-15,3196
2013-12-22,4625
2013-12-29,5008
